Year,LOG,Date,WOTY,Time Set,Time Collected,Municipality,City/Town,Site,Site Habitat,Species,#Females,#Males,Life Stage,Trap,Attractant Used
2018,BG,5/23-5/25,21,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,5/29-5/30,22,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae vexans,2,0,Adult,BG Sentinal,BG Lure
2018,BG,5/30-6/1,22,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/1-6/4,22,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/6-6/8,23,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/4-6/6,23,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/8-6/11,23,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/11-6/13,24,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/11-6/13,24,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/13-6/15,24,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/18-6/20,25,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/20-6/22,25,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/22-6/25,25,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/29-7/2,26,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/25-6/27,26,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/29-7/2,26,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/29-7/2,26,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,An punctipennis,0,1,Adult,BG Sentinal,BG Lure
2018,BG,6/27-6/29,26,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,7/2-7/6,27,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/6-7/9,27,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae japonicus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/2-7/6,27,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae vexans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/9-7/11,28,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,,28,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,7/16-7/18,29,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,7/18-7/20,29,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/20-7/23,29,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,7/16-7/18,29,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,An punctipennis,0,1,Adult,BG Sentinal,BG Lure
2018,BG,7/23-7/25,30,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,8,0,Adult,BG Sentinal,BG Lure
2018,BG,7/25-7/27,30,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,7/27-7/30,30,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/8-8/10,32,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/8-8/10,32,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/6-8/8,32,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,4,0,Adult,BG Sentinal,BG Lure
2018,BG,8/6-8/8,32,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae species,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/10-8/13,32,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,8/13-8/15,33,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/15-8/17,33,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/15-8/17,33,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/15-8/17,33,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,An quadrimaculatus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/17-8/20,33,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,5,0,Adult,BG Sentinal,BG Lure
2018,BG,8/17-8/20,33,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae japonicus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/17-8/20,33,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/25-5/29,21/22,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae vexans,5,0,Adult,BG Sentinal,BG Lure
2018,BG,6/15-6/18,24-25,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,An species,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/15-6/18,24-25,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/22-8/24,34,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,4,0,Adult,BG Sentinal,BG Lure
2018,BG,8/20-8/22,34,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,5,0,Adult,BG Sentinal,BG Lure
2018,BG,8/20-8/22,34,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae japonicus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/24-8/27,34,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,6,0,Adult,BG Sentinal,BG Lure
2018,BG,8/24-8/27,34,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/4-9/5,36,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/5-9/7,36,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,9/7-9/10,36,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/24-9/26,39,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,9/26-9/29,39,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/24,38,,,Des Moines County,Burlington,1309 N 9th St,Residential,Ae vexans,4,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/24,38,,,Des Moines County,Burlington,1309 N 9th St,Residential,Ae albopictus,8,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/24,38,,,Des Moines County,Burlington,1309 N 9th St,Residential,Ae japonicus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/10-8/13,32,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae albopictus,5,2,Adult,BG Sentinal,BG Lure
2018,BG,8/12-8/21,33,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae albopictus,5,0,Adult,BG Sentinal,BG Lure
2018,BG,8/21-8/27,34,,,Des Moines County,Burlington,1320 N 9th St,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/27-9/4,35,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae albopictus,6,0,Adult,BG Sentinal,BG Lure
2018,BG,8/27-9/4,35,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/27-9/4,35,,,Des Moines County,Burlington,1320 N 9th St,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/4-9/10,36,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae albopictus,5,1,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/18,37,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae albopictus,9,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/18,37,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae vexans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/18,37,,,Des Moines County,Burlington,1320 N 9th St,Residential,Ae triseriatus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/18,37,,,Des Moines County,Burlington,1320 N 9th St,Residential,An quadrimaculatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/18,37,,,Des Moines County,Burlington,1320 N 9th St,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/24-9/28,39,,,Des Moines County,Burlington,1320 N 9th St,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae japonicus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/19-9/21,38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,9/17-9/19,38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,An quadrimaculatus,0,1,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/12,37/38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,4,0,Adult,BG Sentinal,BG Lure
2018,BG,9/12-9/14,37,,,Lee County,Fort Madison,1710 Ave B MC,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,9/14-9/17,37/38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/27-8/29,35,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae vexans,8,0,Adult,BG Sentinal,BG Lure
2018,BG,8/27-8/29,35,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/29-8/31,35,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/29-8/31,35,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Cx quinquefasciatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/29-8/31,35,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Cx pipiens group,0,1,Adult,BG Sentinal,BG Lure
2018,BG,7/20-7/23,29,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/20-7/23,29,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/20-7/23,29,,,Lee County,Fort Madison,1710 Ave B MC,Residential,An quadrimaculatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/27-7/30,30,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae japonicus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,7/25-7/27,30,,,Lee County,Fort Madison,1710 Ave B MC,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,7/23-7/25,30,,,Lee County,Fort Madison,1710 Ave B MC,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/8-8/10,32,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae japonicus,5,0,Adult,BG Sentinal,BG Lure
2018,BG,8/6-8/8,32,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae vexans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/6-8/8,32,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/6-8/8,32,,,Lee County,Fort Madison,1710 Ave B MC,Residential,An quadrimaculatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/10-8/13,32,,,Lee County,Fort Madison,1710 Ave B MC,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/20-8/22,34,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,7,0,Adult,BG Sentinal,BG Lure
2018,BG,8/20-8/22,34,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae japonicus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/20-8/22,34,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/22-8/24,34,,,Lee County,Fort Madison,1710 Ave B MC,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/24-8/27,34,,,Lee County,Fort Madison,1710 Ave B MC,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,8/31-9/4,35,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,17,0,Adult,BG Sentinal,BG Lure
2018,BG,8/31-9/4,35,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae triseriatus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,9/4-9/5,36,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/5-9/7,36,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/5-9/7,36,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae atropalpus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/5-9/7,36,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/7-9/10,36,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,5,0,Adult,BG Sentinal,BG Lure
2018,BG,8/13-8/15,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/13-8/15,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/15-8/17,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/15-8/17,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,An quadrimaculatus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,8/15-8/17,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/17-8/20,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,11,0,Adult,BG Sentinal,BG Lure
2018,BG,8/17-8/20,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae japonicus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/17-8/20,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/17-8/20,33,,,Lee County,Fort Madison,1710 Ave B MC,Residential,An quadrimaculatus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/7-9/10,36,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Cx restuans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/19-9/21,38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/19-9/21,38,,,Lee County,Fort Madison,1710 Ave B MC,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/8-6/11,23,,,Lee County,Fort Madison,206 Ave D JV,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/22-6/25,25,,,Lee County,Fort Madison,206 Ave D JV,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae vexans,22,11,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,212 16th St TJ,Residential,An punctipennis,1,2,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,212 16th St TJ,Residential,An quadrimaculatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,212 16th St TJ,Residential,Cx pipiens group,5,4,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,212 16th St TJ,Residential,An species,1,0,Adult,BG Sentinal,BG Lure
,,9/17-9/19,38,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/12,37/38,,,Lee County,Fort Madison,212 16th St TJ,Residential,An quadrimaculatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/12-9/14,37,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae vexans,0,1,Adult,BG Sentinal,BG Lure
2018,BG,9/12-9/14,37,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/14-9/17,37/38,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,5/18-5/21,20,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae species,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/18-5/21,20,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae vexans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/18-5/21,20,,,Lee County,Fort Madison,212 16th St TJ,Residential,Cx restuans,2,0,Adult,BG Sentinal,BG Lure
2018,BG,5/23-5/25,21,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae species,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/21-5/23,21,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/21-5/23,21,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae vexans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/23-5/25,21,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae vexans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/30-6/1,22,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/29-5/30,22,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,6/1-6/4,22,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/4-6/6,23,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/6-6/8,23,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/11-6/13,24,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/13-6/15,24,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/18-6/20,25,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/20-6/22,25,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/22-6/25,25,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/25-627,26,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae triseriatus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,6/27-6/29,26,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,6/29-7/2,26,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,7/2-7/6,27,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/6-7/9,27,,,Lee County,Fort Madison,212 16th St TJ,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,7/9-7/11,28,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,7/11-7/13,28,,,Lee County,Fort Madison,212 16th St TJ,Residential,Ae species,1,0,Adult,BG Sentinal,BG Lure
